field,field_type,diff_count,missing_count,total_files,diff_rate,missing_rate
AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,number,32,14,789,0.0406,0.0177
AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,number,31,14,789,0.0393,0.0177
AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,number,22,14,789,0.0279,0.0177
AMERICAN ECONOMIC JOURNAL-MICROECONOMICS,number,33,14,789,0.0418,0.0177
AMERICAN ECONOMIC REVIEW,number,151,14,789,0.1914,0.0177
ECONOMETRICA,number,56,14,789,0.0710,0.0177
ECONOMIC JOURNAL,number,58,14,789,0.0735,0.0177
INTERNATIONAL ECONOMIC REVIEW,number,84,14,789,0.1065,0.0177
JOURNAL OF DEVELOPMENT ECONOMICS,number,56,14,789,0.0710,0.0177
JOURNAL OF ECONOMETRICS,number,109,14,789,0.1381,0.0177
JOURNAL OF ECONOMIC THEORY,number,121,14,789,0.1534,0.0177
JOURNAL OF INTERNATIONAL ECONOMICS,number,71,14,789,0.0900,0.0177
JOURNAL OF LABOR ECONOMICS,number,43,14,789,0.0545,0.0177
JOURNAL OF MONETARY ECONOMICS,number,74,14,789,0.0938,0.0177
JOURNAL OF POLITICAL ECONOMY,number,45,14,789,0.0570,0.0177
JOURNAL OF PUBLIC ECONOMICS,number,75,14,789,0.0951,0.0177
JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,number,23,14,789,0.0292,0.0177
QUANTITATIVE ECONOMICS,number,23,14,789,0.0292,0.0177
QUARTERLY JOURNAL OF ECONOMICS,number,26,14,789,0.0330,0.0177
RAND JOURNAL OF ECONOMICS,number,34,14,789,0.0431,0.0177
REVIEW OF ECONOMIC STUDIES,number,54,14,789,0.0684,0.0177
REVIEW OF ECONOMICS AND STATISTICS,number,87,14,789,0.1103,0.0177
THEORETICAL ECONOMICS,number,22,14,789,0.0279,0.0177
name,text,64,47,789,0.0811,0.0596
promotion_university,text,147,159,789,0.1863,0.2015
promotion_year,number,121,159,789,0.1534,0.2015
years_post_phd,number,139,223,789,0.1762,0.2826
