field,field_type,diff_count,missing_count,total_files,diff_rate,missing_rate
AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,number,17,0,781,0.0218,0.0000
AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,number,5,0,781,0.0064,0.0000
AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,number,4,0,781,0.0051,0.0000
AMERICAN ECONOMIC JOURNAL-MICROECONOMICS,number,8,0,781,0.0102,0.0000
AMERICAN ECONOMIC REVIEW,number,136,0,781,0.1741,0.0000
ECONOMETRICA,number,21,0,781,0.0269,0.0000
ECONOMIC JOURNAL,number,25,0,781,0.0320,0.0000
INTERNATIONAL ECONOMIC REVIEW,number,44,0,781,0.0563,0.0000
JOURNAL OF DEVELOPMENT ECONOMICS,number,32,0,781,0.0410,0.0000
JOURNAL OF ECONOMETRICS,number,66,0,781,0.0845,0.0000
JOURNAL OF ECONOMIC THEORY,number,70,0,781,0.0896,0.0000
JOURNAL OF INTERNATIONAL ECONOMICS,number,50,0,781,0.0640,0.0000
JOURNAL OF LABOR ECONOMICS,number,18,0,781,0.0230,0.0000
JOURNAL OF MONETARY ECONOMICS,number,45,0,781,0.0576,0.0000
JOURNAL OF POLITICAL ECONOMY,number,26,0,781,0.0333,0.0000
JOURNAL OF PUBLIC ECONOMICS,number,35,0,781,0.0448,0.0000
JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,number,9,0,781,0.0115,0.0000
QUANTITATIVE ECONOMICS,number,7,0,781,0.0090,0.0000
QUARTERLY JOURNAL OF ECONOMICS,number,7,0,781,0.0090,0.0000
RAND JOURNAL OF ECONOMICS,number,12,0,781,0.0154,0.0000
REVIEW OF ECONOMIC STUDIES,number,20,0,781,0.0256,0.0000
REVIEW OF ECONOMICS AND STATISTICS,number,53,0,781,0.0679,0.0000
THEORETICAL ECONOMICS,number,14,0,781,0.0179,0.0000
name,text,57,34,781,0.0730,0.0435
promotion_university,text,222,121,781,0.2843,0.1549
promotion_year,number,178,120,781,0.2279,0.1536
years_post_phd,number,204,162,781,0.2612,0.2074
